ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,to_hop_mon,predicted_diem,newmajor,nam
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E15,An toàn không gian số - Cyber Security (CT tiên tiến),"A00, A01",28.51,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,CH-E11,Chương trình tiên tiến Kỹ thuật Hóa dược,"A00, B00, D07",24.0,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS-E3,Chương trình tiên tiến KHKT Vật liệu,"A00, A01, D07",24.36,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E4,Chương trình tiên tiến Điện tử - Viễn thông,"A00, A01",24.96,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM-E13,Chương trình tiên tiến Phân tích kinh doanh,"A01, D01, D07",26.11,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-E18,Chương trình tiên tiến Hệ thống điện và năng lượng tái tạo,"A00, A01",26.2,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-E1,Chương trình tiên tiến Cơ điện tử,"A00, A01",25.84,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E10,Chương trình tiên tiến Khoa học dữ liệu và Trí tuệ nhân tạo,"A00, A01",28.35,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF-E12,Chương trình tiên tiến Kỹ thuật Thực phẩm,"A00, B00, D07",25.04,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E9,Chương trình tiên tiến Hệ thống nhúng thông minh và IoT,"A00, A01, D28",25.05,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE-E2,Chương trình tiên tiến Kỹ thuật Ô tô,"A00, A01",25.62,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E5,Chương trình tiên tiến Kỹ thuật Y sinh,"A00, A01",25.82,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM-E14,Chương trình tiên tiến Logistics và Quản lý chuỗi cung ứng,"A01, D01, D07",26.92,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-E8,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,"A00, A01",26.67,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-GU,Cơ khí - Chế tạo máy - ĐH Griffith (Úc),"A00, A01",26.16,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE-EP,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),"A00, A01, D29",25.19,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-NUT,Cơ điện tử - ĐH Nagaoka (Nhật Bản),"A00, A01, D28",25.29,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-LUH,Cơ điện tử - ĐH Leibniz Hannover (Đức),"A00, A01, D26",25.01,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ED2,Công nghệ giáo dục,"A00, A01, D01",26.98,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS3,Công nghệ vật liệu Polime và Compozit,"A00, A01, D07",25.6,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E7,Công nghệ thông tin ICT,"A00, A01",27.83,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E6,Công nghệ thông tin Việt-Nhật,"A00, A01, D28",27.85,0,2024
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-EP,Công nghệ thông tin (Việt - Pháp),"A00, A01, D29",26.98,0,2024
