mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09064931869506836,0.017448529175580266,0.032209014892578124,0.023712405209489088,0.7,0.01,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-3.147849865690545,-3.919705025768311,-2.6488417314315793,-2.346591292315904,-3.693405135166614,-3.1512786100745904,0.59738707354855,40
0.09217133522033691,0.014807026129648551,0.012943887710571289,0.0018477974582441826,0.7,0.01,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-3.0869835903949063,-3.9028288279395915,-2.6952595718142933,-2.384010026399719,-3.622307987158166,-3.138278000741335,0.5633186695183097,38
0.1227203369140625,0.00864092369071743,0.013961553573608398,0.002804324306697475,0.7,0.01,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",-3.00309979921755,-3.7478137157898486,-2.433050507903665,-2.066732219590241,-3.9176727984548347,-3.033673808191228,0.7194594049772772,20
0.11272411346435547,0.004871384656859612,0.012650442123413087,0.0015027840845632135,0.7,0.01,3,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-2.8325329623198745,-3.6778516417093576,-2.468078225889334,-2.131963032427165,-3.8910410031467744,-3.0002933730985015,0.6808686579177287,14
0.1166468620300293,0.012219046328670363,0.03606710433959961,0.03370706730244657,0.7,0.01,6,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",-3.222255631350323,-3.7287023806582247,-2.46977559098494,-2.1866001192619775,-3.715320520035932,-3.064530848458279,0.6346690963824602,25
0.13416290283203125,0.019808196294074907,0.016828393936157225,0.004203309627657565,0.7,0.01,6,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-3.211889931089588,-3.8318004729581294,-2.6263105255798154,-2.1531513639889,-3.713197031831691,-3.107269865089625,0.6394844316711104,34
0.20365362167358397,0.01044446567039044,0.013349294662475586,0.0014256536095258515,0.7,0.01,6,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7}",-3.111038306268633,-3.446247812007042,-2.159651526235744,-1.8897124856476935,-3.8815790032520883,-2.8976458266822402,0.758312625776698,5
0.21005048751831054,0.017639789432019267,0.014056634902954102,0.0014733442218554731,0.7,0.01,6,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",-3.092952813709896,-3.6096784933556156,-2.380670976293607,-1.8952140100722197,-4.0293580577911445,-3.001574870244496,0.7802607543688073,16
0.184067440032959,0.007059921957566392,0.015459823608398437,0.002472633184426497,0.7,0.01,10,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.7}",-3.253803878397376,-3.6402072925716777,-2.341687257689978,-2.15661580188748,-3.613239891879821,-3.0011108244852664,0.6316662653336392,15
0.23419723510742188,0.019250345811519073,0.014805078506469727,0.0016396019440375188,0.7,0.01,10,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-3.386339366057855,-3.540311791415002,-2.4006419004514283,-2.1758426176810066,-3.5886068159755133,-3.0183484983161613,0.6040587896710031,18
0.38568410873413084,0.02105413305849634,0.016628742218017578,0.0023962396423517166,0.7,0.01,10,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.7}",-3.164020377153979,-3.4344183478449635,-1.9874132911614948,-1.9046691088987735,-3.839871452309486,-2.866078515473739,0.781845614593948,4
0.3973115921020508,0.016247480907547112,0.01495060920715332,0.002322597550378218,0.7,0.01,10,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'subsample': 1.0}",-3.5129408212512514,-3.3088738236028092,-2.113737082601061,-1.9349568648597757,-3.8543642724171265,-2.9449745729464047,0.773704011279432,6
