ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon,hoc_phi
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E15,An toàn không gian số - Cyber Security (CT tiên tiến),27.9,"A00, A01","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,CH-E11,Chương trình tiên tiến Kỹ thuật Hóa dược,24.34,"A00, B00, D07","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS-E3,Chương trình tiên tiến KHKT Vật liệu,24.0,"A00, A01, D07","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E4,Chương trình tiên tiến Điện tử - Viễn thông,27.03,"A00, A01","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM-E13,Chương trình tiên tiến Phân tích kinh doanh,25.5,"A01, D01, D07","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-E18,Chương trình tiên tiến Hệ thống điện và năng lượng tái tạo,25.8,"A00, A01","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-E1,Chương trình tiên tiến Cơ điện tử,26.38,"A00, A01","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E10,Chương trình tiên tiến Khoa học dữ liệu và Trí tuệ nhân tạo,28.22,"A00, A01","67,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF-E12,Chương trình tiên tiến Kỹ thuật Thực phẩm,22.0,"A00, B00, D07","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E9,Chương trình tiên tiến Hệ thống nhúng thông minh và IoT,27.21,"A00, A01, D28","37,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE-E2,Chương trình tiên tiến Kỹ thuật Ô tô,25.9,"A00, A01","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E5,Chương trình tiên tiến Kỹ thuật Y sinh,25.08,"A00, A01","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM-E14,Chương trình tiên tiến Logistics và Quản lý chuỗi cung ứng,26.06,"A01, D01, D07","64,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-E8,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,27.54,"A00, A01","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-GU,Cơ khí - Chế tạo máy - ĐH Griffith (Úc),24.89,"A00, A01","58,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE-EP,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),24.86,"A00, A01, D29","38,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-NUT,Cơ điện tử - ĐH Nagaoka (Nhật Bản),25.11,"A00, A01, D28","48,000,000",
