ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon,hoc_phi
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-LUH,Cơ điện tử - ĐH Leibniz Hannover (Đức),25.24,"A00, A01, D26","52,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ED2,Công nghệ giáo dục,25.3,"A00, A01, D01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS3,Công nghệ vật liệu Polime và Compozit,25.0,"A00, A01, D07","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E7,Công nghệ thông tin ICT,28.01,"A00, A01","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E6,Công nghệ thông tin Việt-Nhật,27.35,"A00, A01, D28","37,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-EP,Công nghệ thông tin (Việt - Pháp),27.35,"A00, A01, D29","37,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (Đức),25.65,"A00, A01, D26","52,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MI2,Hệ thống thông tin quản lý,27.34,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,CH2,Hóa học,23.82,"A00, B00, D07","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM4,Kế toán,25.8,"A00, A01, D01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TROY-IT,Khoa học máy tính - ĐH Troy (Hoa Kỳ),21.0,"A00, A01, D01","87,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT1,Khoa học Máy tính,28.53,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE1,Kỹ thuật Ô tô,26.99,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE3,Kỹ thuật Hàng không,26.22,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME1,Kỹ thuật Cơ điện tử,27.49,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT2,Kỹ thuật Máy tính,28.48,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE1,Kỹ thuật Điện,26.81,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,PH2,Kỹ thuật hạt nhân,24.64,"A00, A01, A02","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,HE1,Kỹ thuật Nhiệt,25.2,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET2,Kỹ thuật Y sinh,25.8,"A00, A01, B00","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TX1,Kỹ thuật Dệt,22.5,"A00, A01, D07","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF-E19,Kỹ thuật sinh học chương trình Tiên tiến,22.0,"A00, B00, D07","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME2,Kỹ thuật Cơ khí,25.8,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EV1,Kỹ thuật Môi trường,22.1,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,CH1,Kỹ thuật Hóa học,24.38,"A00, B00, D07","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET1,Kỹ thuật Điện tử - Viễn thông,27.41,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE2,Kỹ thuật Điều khiển - Tự động hóa,28.16,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE2,Kỹ thuật Cơ khí động lực,26.12,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF2,Kỹ thuật Thực phẩm,24.54,"A00, B00, D07","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS5,Kỹ thuật in,24.0,"A00, A01, D07","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF1,Kỹ thuật Sinh học,24.0,"A00, B00, D07","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS2,Kỹ thuật Vi điện tử và công nghệ nano,27.64,"A00, A01, D07","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS1,Kỹ thuật Vật liệu,24.9,"A00, A01, D07","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM1,Quản lý năng lượng,25.4,"A00, A01, D01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EV2,Quản lý Tài nguyên và Môi trường,21.78,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM2,Quản lý công nghiệp,25.6,"A00, A01, D01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TROY-BA,Quản trị kinh doanh - ĐH Troy (Hoa Kỳ),21.0,"A00, A01, D01","87,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ED3,Quản lý giáo dục,24.78,"A00, A01, D01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM3,Quản trị kinh doanh,25.77,"A00, A01, D01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM5,Tài chính - Ngân hàng,25.91,"A00, A01, D01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,FL2,Tiếng Anh chuyên nghiệp quốc tế,23.81,D01,"24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,FL1,Tiếng Anh KHKT và Công nghệ,25.0,D01,"24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MI1,Toán-Tin,27.35,"A00, A01","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-EP,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),26.22,"A00, A01","38,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E16,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),26.61,"A00, A01","33,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,PH3,Vật lý y khoa,25.31,"A00, A01, A02","24,000,000",
BKA,Đại học Bách khoa Hà Nội,Hà Nội,PH1,Vật lý kỹ thuật,25.87,"A00, A01","24,000,000",
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH10,Định hướng nghề nghiệp Khoa học máy tính và dữ liệu trong kinh tế và kinh doanh,27.2,A00,"22,000,000",
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH02,Kinh doanh quốc tế và Quản trị kinh doanh,28.1,A00,"22,000,000",
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH09,Kinh tế chính trị,27.2,A00,"22,000,000",
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH05,Ngôn ngữ Pháp,26.0,D01,"22,000,000",
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH06,Ngôn ngữ Trung Quốc,28.5,D01,"22,000,000",
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH04,Ngôn ngữ Anh,27.0,D01,"22,000,000",
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH07,Ngôn ngữ Nhật,26.0,D01,"22,000,000",
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH01-02,Nhóm ngành Kinh tế; Kinh tế quốc tế,28.0,A00,"22,000,000",
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH01-01,Nhóm ngành luật,27.5,A00,"22,000,000",
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH03,Tài chính - Ngân hàng và Kế toán,27.8,A00,"22,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480202,An toàn thông tin,35.0,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340204,Bảo hiểm,26.71,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340116,Bất động sản,26.83,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP09,Công nghệ tài chính (BFT),26.96,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480201,Công nghệ thông tin,35.17,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP10,Đầu tư tài chính (BFI - tiếng Anh hệ số 2),36.36,"A01, D01, D07, D10","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP02,Định phí Bảo hiểm & Quản trị rủi ro (Actuary) học bằng tiếng Anh,26.57,"A01, D01, D07, D09","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340405,Hệ thống thông tin,36.36,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480104,Hệ thống thông tin,35.94,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340301,Kế toán,27.29,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP04,Kế toán tích hợp chứng chỉ quốc tế (ICAEW CFAB),27.2,"A01, D01, D07, D09","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP03,Khoa học dữ liệu trong Kinh tế & Kinh doanh (DSEB),26.97,"A01, D01, D07, D09","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP15,Khoa học dữ liệu,35.46,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340401,Khoa học quản lý,27.1,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480101,Khoa học máy tính,35.55,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP01,Khởi nghiệp và phát triển kinh doanh (BBAE) học bằng tiếng Anh (tiếng Anh hệ số 2),36.25,"A01, D01, D07, D09","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340302,Kiểm toán,27.79,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP12,Kiểm toán tích hợp chứng chỉ quốc tế (AUD-ICAEW),27.45,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310106,Kinh tế quốc tế,27.54,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7620114,Kinh doanh nông nghiệp,26.81,"A00, A01, B00, D01","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7850102,Kinh tế tài nguyên thiên nhiên,26.87,"A00, A01, B00, D01","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310101_3,Kinh tế,27.34,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310101_2,Kinh tế,27.01,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310101_1,Kinh tế,27.2,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340121,Kinh doanh thương mại,27.57,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP05,Kinh doanh số (E-BDB),27.0,"A01, D01, D07, D09","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP13,Kinh tế học tài chính (FE),26.96,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7620115,Kinh tế nông nghiệp,26.85,"A00, A01, B00, D01","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310104,Kinh tế đầu tư,27.4,"A00, A01, B00, D01","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310105,Kinh tế phát triển,27.2,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP17,Kỹ thuật phần mềm,34.06,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP14,Logistics và Quản lý chuỗi cung ứng tích hợp chứng chỉ quốc tế (LSIC),36.42,"A01, D01, D07, D10","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7510605,Logistics và Quản lý chuỗi cung ứng,27.89,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7380107,Luật kinh tế,27.05,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE4,Luật kinh doanh,35.26,"A01, D01, D07, D09",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340115,Marketing,27.78,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340120,Ngành Kinh doanh quốc tế,27.71,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7380101,Ngành Luật,26.91,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7220201,Ngôn ngữ Anh,35.6,"A01, D01, D09, D10","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP06,Phân tích kinh doanh (BA),27.48,"A01, D01, D07, D09","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EPMP,Quản lý công và chính sách học bằng tiếng Anh (EPMP),26.7,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE5,Quản trị kinh doanh thương mại,36.59,"A01, D01, D07, D09",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP07,Quản trị điều hành thông minh (E-SOM),26.96,"A01, D01, D07, D10","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340403,Quản lý công,26.96,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7320108,Quan hệ công chúng,28.18,"A01, C03, C04, D01","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP18,Quản trị giải trí và sự kiện,36.55,"A01, D01, D09, D10","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE2,Quản trị lữ hành,35.75,"A01, D01, D07, D09",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP11,Quản trị khách sạn quốc tế (IHME - tiếng Anh hệ số 2),35.65,"A01, D01, D09, D10","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7850101,Quản lý tài nguyên và môi trường,26.76,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340409,Quản lý dự án,27.15,"A00, A01, B00, D01","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP08,Quản trị chất lượng và Đổi mới (E-MQI),26.86,"A01, D01, D07, D10","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE6,Quản lí thị trường,35.88,"A01, D01, D07, D09",
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE1,Quản trị khách sạn,35.8,"A01, D01, D07, D09","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340404,Quản trị nhân lực,27.25,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,26.71,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340101,Quản trị Kinh doanh,27.15,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EBBA,Quản trị kinh doanh học bằng tiếng Anh (EBBA),27.01,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7850103,Quản lý đất đai,26.85,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7810201,Quản trị khách sạn,26.94,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340201,Tài chính – Ngân hàng,27.03,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE7,Thẩm định giá,36.05,"A01, D01, D07, D09",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310107,Thống kê kinh tế,36.23,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340122,Thương mại điện tử,28.02,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310108,Toán kinh tế,36.2,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP16,Trí tuệ nhân tạo,34.5,"A00, A01, D01, D07","16,000,000",
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE3,Truyền thông Marketing,37.49,"A01, D01, D07, D09",
TMA,Đại học Thương mại,Hà Nội,TM38,Công nghệ tài chính ngân hàng,25.5,"A00, A01, D01, D07","35,000,000",
TMA,Đại học Thương mại,Hà Nội,TM22,Hệ thống thông tin quản lý (Quản trị hệ thống thông tin kinh tế),26.0,"A00, A01, D01, D07","24,000,000",
TMA,Đại học Thương mại,Hà Nội,TM26,Hệ thống thông tin quản lý (Quản trị hệ thống thông tin) - Cơ chế đặc thù,25.5,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM09,Kế toán (Kế toán công),25.9,"A00, A01, D01, D07","24,000,000",
TMA,Đại học Thương mại,Hà Nội,TM08,Kế toán (Kế toán doanh nghiệp)-Chất lượng cao,25.0,"A00, A01, D01, D07","35,000,000",
TMA,Đại học Thương mại,Hà Nội,TM07,Kế toán (Kế toán doanh nghiệp),26.15,"A00, A01, D01, D07","24,000,000",
TMA,Đại học Thương mại,Hà Nội,TM10,Kiểm toán (Kiểm toán),26.0,"A00, A01, D01, D07","24,000,000",
TMA,Đại học Thương mại,Hà Nội,TM11,Kinh doanh quốc tế (Thương mại quốc tế),26.6,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM36,Kinh doanh quốc tế định hướng nghề nghiệp quốc tế,25.5,"A00, A01, D01, D07","35,000,000",
TMA,Đại học Thương mại,Hà Nội,TM33,Kinh tế số (Phân tích kinh doanh trong môi trường số),26.1,"A00, A01, D01, D07",
TMA,Đại học Thương mại,Hà Nội,TM13,Kinh tế (Quản lý kinh tế),25.9,"A00, A01, D01, D07","24,000,000",
TMA,Đại học Thương mại,Hà Nội,TM12,Kinh tế quốc tế (Kinh tế quốc tế),26.5,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM37,Logistics và Quản lý chuỗi cung ứng định hướng nghề nghiệp quốc tế,25.35,"A00, A01, D01, D07","35,000,000",
TMA,Đại học Thương mại,Hà Nội,TM06,Logistics và Quản lý chuỗi cung ứng (Logistics và Quản lý chuỗi cung ứng),26.9,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM19,Luật kinh tế (Luật kinh tế),25.8,"A00, A01, D01, D07","24,000,000",
TMA,Đại học Thương mại,Hà Nội,TM29,Luật kinh tế (Luật thương mại quốc tế),25.6,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM35,Marketing thương mại định hướng nghề nghiệp quốc tế,26.0,"A00, A01, D01, D07","35,000,000",
TMA,Đại học Thương mại,Hà Nội,TM05,Marketing (Quản trị thương hiệu),26.75,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM28,Marketing (Marketing số),26.79,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM04,Marketing (Marketing thương mại),27.0,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM18,Ngôn ngữ Anh (Tiếng Anh Thương mại),26.05,"A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM32,Quản trị DV du lịch và lữ hành,25.55,"A00, A01, D01, D07",
TMA,Đại học Thương mại,Hà Nội,TM25,Quản trị dịch vụ du lịch và lữ hành - Cơ chế đặc thù,25.5,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM03,Quản trị dịch vụ du lịch và lữ hành (Quản trị dịch vụ du lịch và lữ hành),25.55,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM02,Quản trị khách sạn (Quản trị khách sạn),25.15,"A00, A01, D01, D07",
TMA,Đại học Thương mại,Hà Nội,TM23,Quản trị nhân lực (Quản trị nhân lực doanh nghiệp),26.15,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM01,Quản trị kinh doanh (Quản trị kinh doanh),26.1,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM31,Quản trị khách sạn,25.55,"A00, A01, D01, D07",
TMA,Đại học Thương mại,Hà Nội,TM34,Quản trị khách sạn định hướng nghề nghiệp quốc tế,25.0,"A00, A01, D01, D07","35,000,000",
TMA,Đại học Thương mại,Hà Nội,TM24,Quản trị khách sạn (Quản trị khách sạn) - Cơ chế đặc thù,25.5,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM21,Quản trị kinh doanh (Tiếng Trung thương mại),26.5,"A00, A01, D01, D04","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM27,Quản trị nhân lực doanh nghiệp định hướng nghề nghiệp quốc tế,25.0,"A00, A01, D01, D07","35,000,000",
TMA,Đại học Thương mại,Hà Nội,TM20,Quản trị kinh doanh (Tiếng Pháp thương mại),25.5,"A00, A01, D01, D03","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM14,Tài chính - Ngân hàng (Tài chính – Ngân hàng thương mại),26.15,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM16,Tài chính - Ngân hàng (Tài chính công),25.95,"A00, A01, D01, D07","24,000,000",
TMA,Đại học Thương mại,Hà Nội,TM15,Tài chính - Ngân hàng (TC-NH thương mại)-Chất lượng cao,25.1,"A00, A01, D01, D07","35,000,000",
TMA,Đại học Thương mại,Hà Nội,TM17,Thương mại điện tử (Quản trị Thương mại điện tử),27.0,"A00, A01, D01, D07","26,000,000",
TMA,Đại học Thương mại,Hà Nội,TM30,Thương mại điện tử (Kinh doanh số),26.2,"A00, A01, D01, D07",
HTC,Học viện Tài chính,Hà Nội,7340101C35,Digital Marketing (theo định hướng ICDL),35.31,"A01, D01, D07","50,000,000",
HTC,Học viện Tài chính,Hà Nội,7340201C06,Hải quan & Logistics,36.15,"A01, D01, D07","50,000,000",
HTC,Học viện Tài chính,Hà Nội,7340405,Hệ thống thông tin,26.03,"A00, A01, D01, D07","25,000,000",
HTC,Học viện Tài chính,Hà Nội,7340201C21,Kế toán doanh nghiệp (theo định hướng ACCA),34.35,"A01, D01, D07","50,000,000",
HTC,Học viện Tài chính,Hà Nội,7340301,Kế toán,26.45,"A00, A01, D01, D07","25,000,000",
HTC,Học viện Tài chính,Hà Nội,7340201C22,Kiểm toán (theo định hướng ICAEW),35.7,"A01, D01, D07","50,000,000",
HTC,Học viện Tài chính,Hà Nội,7310101,Kinh tế,26.13,"A01, D01, D07","25,000,000",
HTC,Học viện Tài chính,Hà Nội,7220201,Ngôn ngữ Anh,34.73,"A01, D01, D07","25,000,000",
HTC,Học viện Tài chính,Hà Nội,7340201C09,Phân tích tài chính,35.36,"A01, D01, D07","50,000,000",
HTC,Học viện Tài chính,Hà Nội,7340101,Quản trị Kinh doanh,26.22,"A00, A01, D01, D07","25,000,000",
HTC,Học viện Tài chính,Hà Nội,73402012,Tài chính - Ngân hàng 2,26.85,"A00, A01, D01, D07","25,000,000",
HTC,Học viện Tài chính,Hà Nội,73402011,Tài chính - Ngân hàng 1,26.38,"A00, A01, D01, D07","25,000,000",
HTC,Học viện Tài chính,Hà Nội,73402013,Tài chính - Ngân hàng 3,26.22,"A00, A01, D01, D07","25,000,000",
HTC,Học viện Tài chính,Hà Nội,7340201C11,Tài chính doanh nghiệp,35.4,"A01, D01, D07","50,000,000",
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480202,An toàn thông tin,24.39,"A00, A01","24,600,000",
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510204,Công nghệ kỹ thuật cơ điện tử ô tô,24.97,"A00, A01","24,600,000",
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510205,Công nghệ kỹ thuật ô tô,24.82,"A00, A01","24,600,000",
