mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08322315216064453,0.007851274928524795,0.012926244735717773,0.001769106879876862,0.7,0.01,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-3.047787499019183,-4.01702077175067,-2.875654747418205,-3.04700245903373,-3.8911489921005917,-3.3757228938644763,0.478036385536102,53
0.07721953392028809,0.010185081722444393,0.012511396408081054,0.0005530073915451622,0.7,0.01,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-3.303782764461865,-4.034469368071949,-2.8579865024519036,-3.0449227432214747,-3.986992398411778,-3.445630755323794,0.48286993525752125,63
0.13399910926818848,0.009703423448522644,0.014324140548706055,0.002871010748857236,0.7,0.01,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",-2.696785167864427,-3.7585074352407983,-2.69929270741762,-2.7216457860447556,-4.532842145637722,-3.2818146484410646,0.746684173000191,42
0.12008118629455566,0.006636773524051996,0.013605785369873048,0.0005877812372492685,0.7,0.01,3,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-2.9821806393616423,-3.8034216818061832,-2.7174236224400303,-2.7200180227392425,-4.68578682485326,-3.3817661582400715,0.7638315869506199,54
0.12450056076049805,0.010911501542570805,0.015364885330200195,0.001733044752000691,0.7,0.01,6,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",-2.872445639232694,-3.7070381419717044,-2.715821793848273,-3.036773337788735,-3.891731240801745,-3.24476203072863,0.46774457298125843,39
0.12826762199401856,0.007561633662492638,0.013526105880737304,0.001106733154074113,0.7,0.01,6,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-3.0312130025332666,-3.8084523637500007,-2.7324397128264435,-3.170898695158136,-3.6750722857249403,-3.2836152119985575,0.40221859624542894,43
0.21690268516540528,0.0063047373830369706,0.014244985580444337,0.0016505684405552126,0.7,0.01,6,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7}",-2.662756033951765,-3.3470965894776676,-2.4674776955016737,-2.736388456791425,-4.339631941548822,-3.1106701434542705,0.6812715935837789,26
0.23240923881530762,0.007938710532956594,0.01456313133239746,0.0010488374402759524,0.7,0.01,6,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",-2.8088555062965774,-3.55612756760944,-2.519307018821094,-2.720796568877687,-4.134370103078479,-3.147891352936655,0.6053545500654262,31
0.22480416297912598,0.01579080137726923,0.014442348480224609,0.0021347447885163395,0.7,0.01,10,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.7}",-2.9824154468467885,-3.5037749885628906,-2.5674225819726533,-3.075320377331645,-3.732644579039092,-3.1723155947506134,0.4087051738512262,33
0.26013798713684083,0.010734687511159573,0.013944911956787109,0.001114275173059902,0.7,0.01,10,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-3.1607187111452983,-3.6171788274971575,-2.6139573699484995,-3.069716494303971,-3.563049116513231,-3.204924103881632,0.36542697680000824,36
0.45198493003845214,0.028447689873727835,0.01556863784790039,0.001904875806959119,0.7,0.01,10,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.7}",-2.793539095434431,-3.186933335545916,-2.323977953656686,-2.779792715565425,-4.16281459999801,-3.0494115400400936,0.6201608702321473,21
0.5013597011566162,0.03204987122351277,0.015801763534545897,0.0014489261297011137,0.7,0.01,10,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'subsample': 1.0}",-3.0162437647084803,-3.4056697088568484,-2.318386180063856,-2.7393855394566007,-4.1096263967511995,-3.117862317967397,0.609780645729591,27
0.0797464370727539,0.004939089583750592,0.013451671600341797,0.0014104231572256499,0.7,0.1,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-2.159494619264033,-3.094171299365803,-2.2224664778586507,-2.701186780195885,-4.201817116751448,-2.875827258687164,0.7451758558547951,7
0.0703239917755127,0.005579853418490352,0.01381077766418457,0.002287236728173237,0.7,0.1,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-2.2816788821495435,-3.2250656827122954,-2.295575234429958,-2.372733557513732,-4.661663863219997,-2.9673434440051047,0.9178356902176374,16
