ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon,nam,newmajor
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220209,Ngôn ngữ Nhật,34.23,"D01, D06, D78, D90",2022,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140235,Sư phạm Tiếng Đức,32.98,"D01, D05, D78, D90",2022,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140231,Sư phạm Tiếng Anh,38.1,"D01, D14, D78, D90",2022,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140237,Sư phạm tiếng Hàn Quốc,35.92,"D01, D78, D90",2022,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140236,Sư phạm tiếng Nhật,35.27,"D01, D06, D78, D90",2022,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140234,Sư phạm Tiếng Trung Quốc,38.46,"D01, D04, D78, D90",2022,0
NHF,Đại học Hà Nội,Hà Nội,7340301,Kế toán,32.27,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7340115,Marketing,34.63,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7310111,Nghiên cứu phát triển,32.22,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7220205,Ngôn ngữ Đức,33.48,"D01, D05",2022,0
NHF,Đại học Hà Nội,Hà Nội,7220207,Ngôn ngữ Bồ Đào Nha,30.32,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7220209,Ngôn ngữ Nhật,35.08,"D01, D06",2022,0
NHF,Đại học Hà Nội,Hà Nội,7220202,Ngôn ngữ Nga,31.18,"D01, D02",2022,0
NHF,Đại học Hà Nội,Hà Nội,7220208,Ngôn ngữ Italia,32.15,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7220201,Ngôn ngữ Anh,35.55,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7220206,Ngôn ngữ Tây Ban Nha,32.77,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7220204,Ngôn ngữ Trung Quốc,35.92,"D01, D04",2022,0
NHF,Đại học Hà Nội,Hà Nội,7220210,Ngôn ngữ Hàn Quốc,36.42,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7220203,Ngôn ngữ Pháp,33.73,"D01, D03",2022,0
NHF,Đại học Hà Nội,Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,32.7,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7340101,Quản trị Kinh doanh,33.55,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7310601,Quốc tế học,32.88,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7340201,Tài chính – Ngân hàng,32.13,D01,2022,0
NHF,Đại học Hà Nội,Hà Nội,7320109,Truyền thông doanh nghiệp,32.85,"D01, D03",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7460112,ĐH Toán ứng dụng,31.1,"A00, A01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7720201,Dược học,33.2,"A00, B00, D07",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340301,Kế toán,33.3,"A00, A01, C01, D07",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7480101,Khoa học máy tính,35.0,"A00, A01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7480101,Khoa học máy tính - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,34.5,"A00, A01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7340120,Kinh doanh quốc tế - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,32.8,"A00, A01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7480103,Kỹ thuật phần mềm,35.4,"A00, A01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7480103,Kỹ thuật phần mềm - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,34.5,"A00, A01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7380101,Luật - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,32.1,"A00, A01, C01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7480102,Mạng máy tính và truyền thông dữ liệu,34.5,"A00, A01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340115,Marketing,34.8,"A00, A01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7340115,Marketing -Chất lượng cao giảng dạy bằng tiếng Anh - Việt,33.5,"A00, A01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7520216,Ngành Kỹ thuật điều khiển & Tự động hóa,31.7,"A00, A01, C01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7380101,Ngành Luật,33.5,"A00, A01, C01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340120,Ngành Kinh doanh quốc tế,34.5,"A00, A01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7220204,Ngôn ngữ Trung Quốc,33.0,"D01, D04, D11, D55",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7220201,Ngôn ngữ Anh,34.0,"D01, D11",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340101,Quản trị Kinh doanh,33.6,"A00, A01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340101N,Quản trị kinh doanh (Chuyên ngành Quản trị Nhà hàng - Khách sạn),30.5,"A00, A01, D01",2022,0
