ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon,nam,newmajor
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220202,Ngôn ngữ Nga,33.3,"D01, D02, D78, D90",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220209,Ngôn ngữ Nhật,34.65,"D01, D06, D78, D90",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220201,Ngôn ngữ Anh,35.55,"D01, D14, D78, D90",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220211,Ngôn ngữ Ả Rập,33.04,"D01, D14, D78, D90",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140231,Sư phạm Tiếng Anh,37.21,"D01, D14, D78, D90",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140237,Sư phạm tiếng Hàn Quốc,36.23,"D01, D78, D90",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140236,Sư phạm tiếng Nhật,35.61,"D01, D06, D78, D90",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140234,Sư phạm Tiếng Trung Quốc,35.9,"D01, D04, D78, D90",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220212QTD,Văn hóa và truyền thông xuyên quốc gia,34.49,"D01, D14, D78, D90",2023,0
QHT,Đại học Khoa học tự nhiên - Đại học Quốc Gia Hà Nội,Hà Nội,QHT93,Khoa học dữ liệu,34.85,"A00, A01, D07, D08",2023,0
QHT,Đại học Khoa học tự nhiên - Đại học Quốc Gia Hà Nội,Hà Nội,QHT98,Khoa học máy tính và thông tin*,34.7,"A00, A01, D07, D08",2023,0
