ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,to_hop_mon,predicted_diem,newmajor,nam
DTT,Đại học Tôn Đức Thắng,TP HCM,FA7340120,Kinh doanh quốc tế - học bằng tiếng Anh,"A01, D01",32.22,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,602,Báo in,D01,33.84,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,602,Báo in,D72,34.11,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,602,Báo in,D78,34.15,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,603,"Ngành Báo chí, chuyên ngành Ảnh báo chí",D01,34.48,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,603,"Ngành Báo chí, chuyên ngành Ảnh báo chí",D72,34.55,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,603,"Ngành Báo chí, chuyên ngành Ảnh báo chí",D78,34.57,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,604,Báo phát thanh,D01,34.64,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,604,Báo phát thanh,D72,34.84,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,604,Báo phát thanh,D78,34.87,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,605,Báo truyền hình,D01,35.22,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,605,Báo truyền hình,D72,35.4,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,605,Báo truyền hình,D78,35.38,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,606,"Ngành Báo chí, chuyên ngành Quay phim truyền hình","D01, D78",34.91,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,606,"Ngành Báo chí, chuyên ngành Quay phim truyền hình",D72,34.84,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,607,Báo mạng điện tử,D01,35.48,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,607,Báo mạng điện tử,D72,35.59,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,607,Báo mạng điện tử,D78,35.74,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,610,"Ngành Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại","A01, D01",35.43,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,610,"Ngành Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",D72,35.61,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,610,"Ngành Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",D78,35.71,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,611,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ chính trị và truyền thông quốc tế","A01, D01",35.34,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,611,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ chính trị và truyền thông quốc tế",D72,35.52,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,611,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ chính trị và truyền thông quốc tế",D78,35.65,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,614,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ quốc tế và truyền thông toàn cầu (chất lượng cao)","A01, D01",35.77,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,614,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ quốc tế và truyền thông toàn cầu (chất lượng cao)",D72,35.92,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,614,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ quốc tế và truyền thông toàn cầu (chất lượng cao)",D78,35.95,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,615,"Ngành Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp","A01, D01",35.83,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,615,"Ngành Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp",D72,35.98,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,615,"Ngành Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp",D78,36.04,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,616,"Ngành Quan hệ công chúng, chuyên ngành Truyền thông marketing (chất lượng cao)","A01, D01",36.35,0,2024
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,616,"Ngành Quan hệ công chúng, chuyên ngành Truyền thông marketing (chất lượng cao)",D72,36.58,0,2024
