ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon
KHA,Đại học Kinh tế quốc dân,Hà Nội,7850103,Quản lý đất đai,27.05,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7810201,Quản trị khách sạn,27.35,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310107,Thống kê kinh tế,27.3,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340122,Thương mại điện tử,28.1,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310108,Toán kinh tế,27.4,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM22,Hệ thống thông tin quản lý (Quản trị hệ thống thông tin kinh tế),26.3,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM26,Hệ thống thông tin quản lý (Quản trị hệ thống thông tin) - Cơ chế đặc thù,26.2,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM09,Kế toán (Kế toán công),26.2,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM08,Kế toán (Kế toán doanh nghiệp)-Chất lượng cao,26.1,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM07,Kế toán (Kế toán doanh nghiệp),26.6,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM10,Kiểm toán (Kiểm toán),26.55,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM11,Kinh doanh quốc tế (Thương mại quốc tế),27.1,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM13,Kinh tế (Quản lý kinh tế),26.35,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM12,Kinh tế quốc tế (Kinh tế quốc tế),26.95,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM06,Logistics và Quản lý chuỗi cung ứng (Logistics và Quản lý chuỗi cung ứng),27.4,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM19,Luật kinh tế (Luật kinh tế),26.1,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM05,Marketing (Quản trị thương hiệu),27.15,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM04,Marketing (Marketing thương mại),27.45,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM18,Ngôn ngữ Anh (Tiếng Anh Thương mại),26.7,"A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM25,Quản trị dịch vụ du lịch và lữ hành - Cơ chế đặc thù,25.8,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM03,Quản trị dịch vụ du lịch và lữ hành (Quản trị dịch vụ du lịch và lữ hành),26.2,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM02,Quản trị khách sạn (Quản trị khách sạn),26.15,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM23,Quản trị nhân lực (Quản trị nhân lực doanh nghiệp),26.55,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM01,Quản trị kinh doanh (Quản trị kinh doanh),26.7,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM24,Quản trị khách sạn (Quản trị khách sạn) - Cơ chế đặc thù,25.8,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM21,Quản trị kinh doanh (Tiếng Trung thương mại),26.8,"A00, A01, D01, D04"
TMA,Đại học Thương mại,Hà Nội,TM20,Quản trị kinh doanh (Tiếng Pháp thương mại),26.0,"A00, A01, D01, D03"
TMA,Đại học Thương mại,Hà Nội,TM14,Tài chính - Ngân hàng (Tài chính – Ngân hàng thương mại),26.35,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM16,Tài chính - Ngân hàng (Tài chính công),26.15,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM15,Tài chính - Ngân hàng (TC-NH thương mại)-Chất lượng cao,26.1,"A00, A01, D01, D07"
TMA,Đại học Thương mại,Hà Nội,TM17,Thương mại điện tử (Quản trị Thương mại điện tử),27.1,"A00, A01, D01, D07"
HTC,Học viện Tài chính,Hà Nội,7340201C06,Hải quan & Logistics,36.22,"A01, D01, D07"
HTC,Học viện Tài chính,Hà Nội,7340405,Hệ thống thông tin,26.1,"A00, A01, D01, D07"
HTC,Học viện Tài chính,Hà Nội,7340301,Kế toán,26.55,"A00, A01, D01, D07"
HTC,Học viện Tài chính,Hà Nội,7310101,Kinh tế,26.35,"A01, D01, D07"
HTC,Học viện Tài chính,Hà Nội,7220201,Ngôn ngữ Anh,35.77,"A01, D01, D07"
HTC,Học viện Tài chính,Hà Nội,7340201C09,Phân tích tài chính,35.63,"A01, D01, D07"
HTC,Học viện Tài chính,Hà Nội,7340101,Quản trị Kinh doanh,26.7,"A00, A01, D01, D07"
HTC,Học viện Tài chính,Hà Nội,7340201C11,Tài chính doanh nghiệp,35.7,"A01, D01, D07"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510205,Công nghệ kỹ thuật ô tô,25.25,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510401,Công nghệ kỹ thuật hoá học,22.05,"A00, B00, D07"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7540203,Công nghệ vật liệu dệt. may,22.15,"A00, A01, D01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480201,Công nghệ thông tin,26.05,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7540101,Công nghệ thực phẩm,23.75,"A00, B00, D07"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510206,Công nghệ kỹ thuật nhiệt,23.9,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480108,Công nghệ kỹ thuật máy tính,25.1,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510406,Công nghệ kỹ thuật Môi trường,20.8,"A00, B00, D07"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,26.0,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510203,Công nghệ kỹ thuật cơ điện tử,25.35,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7540204,Công nghệ may,24.0,"A00, A01, D01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510301,"Công nghệ kỹ thuật điện, điện tử",24.6,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510201,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn),24.35,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7519003,Công nghệ kỹ thuật khuôn mẫu,23.45,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510302,Điện tử - viễn thông,24.25,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480104,Hệ thống thông tin,25.25,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340301,Kế toán,24.75,"A00, A01, D01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480101,Khoa học máy tính,25.65,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340302,Kiểm toán,25.0,"A00, A01, D01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7310104,Kinh tế đầu tư,25.05,"A00, A01, D01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7520118,Kỹ thuật hệ thống công nghiệp,23.8,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480103,Kỹ thuật phần mềm,25.4,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510605,Logistics và Quản lý chuỗi cung ứng,26.1,"A00, A01, D01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480102,Mạng máy tính và truyền thông dữ liệu,25.05,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340115,Marketing,26.1,"A00, A01, D01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7220210,Ngôn ngữ Hàn Quốc,26.45,D01
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7220201,Ngôn ngữ Anh,25.89,D01
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7220209,Ngôn ngữ Nhật,25.81,"D01, D06"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7220204,Ngôn ngữ Trung Quốc,26.19,"D01, D04"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340125,Phân tích dữ liệu kinh doanh,23.8,"A00, A01, D01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340406,Quản trị văn phòng,24.5,"A00, A01, D01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340101,Quản trị Kinh doanh,25.3,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,24.3,"A01, D01, D14"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340404,Quản trị nhân lực,25.65,"A00, A01, D01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7810201,Quản trị khách sạn,23.8,"A01, D01, D14"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510209,Robot và trí tuệ nhân tạo,24.2,"A00, A01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340201,Tài chính – Ngân hàng,25.45,"A00, A01, D01"
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7210404,Thiết kế thời trang,24.55,"A00, A01, D01, D14"
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN4,Cơ kỹ thuật,26.2,"A00, A01, D01"
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN9,Công nghệ kỹ thuật điện tử - viễn thông,26.55,"A00, A01, D01"
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN1,Công nghệ Thông tin,28.75,"A00, A01, D01"
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN10,Công nghệ nông nghiệp*,23.55,"A00, A01, B00"
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN6,Công nghệ kỹ thuật cơ điện tử,25.9,"A00, A01, D01"
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN7,Công nghệ Hàng không vũ trụ,25.5,"A00, A01, D01"
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN5,Công nghệ kỹ thuật xây dựng,24.5,"A00, A01, D01"
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN8,Khoa học máy tính,27.9,"A00, A01, D01"
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN11,Kỹ thuật điều khiển và tự động hóa,27.75,"A00, A01, D01"
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN2,Máy tính và Robot,27.65,"A00, A01, D01"
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN3,Vật lý kỹ thuật,25.4,"A00, A01, D01"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220203,Ngôn ngữ Pháp,35.77,"D01, D03, D78, D90"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220205,Ngôn ngữ Đức,35.92,"D01, D05, D78, D90"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220210,Ngôn ngữ Hàn Quốc,36.83,"D01, D78, D90"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220204,Ngôn ngữ Trung Quốc,37.13,"D01, D04, D78, D90"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220202,Ngôn ngữ Nga,35.19,"D01, D02, D78, D90"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220211,Ngôn ngữ Ả Rập,34.0,"D01, D14, D78, D90"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220201,Ngôn ngữ Anh,36.9,"D01, D14, D78, D90"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220209,Ngôn ngữ Nhật,36.53,"D01, D06, D78, D90"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140231,Sư phạm Tiếng Anh,38.45,"D01, D14, D78, D90"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140237,Sư phạm tiếng Hàn Quốc,37.7,"D01, D78, D90"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140236,Sư phạm tiếng Nhật,37.33,"D01, D06, D78, D90"
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140234,Sư phạm Tiếng Trung Quốc,38.32,"D01, D04, D78, D90"
QHY,Đại học Y Dược - Đại học Quốc Gia Hà Nội,Hà Nội,7720301,Điều dưỡng,25.35,B00
