ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E15,An toàn không gian số - Cyber Security (CT tiên tiến),27.44,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,CH-E11,Chương trình tiên tiến Kỹ thuật Hóa dược,26.4,"A00, B00, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS-E3,Chương trình tiên tiến KHKT Vật liệu,23.99,"A00, A01, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E4,Chương trình tiên tiến Điện tử - Viễn thông,26.59,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM-E13,Chương trình tiên tiến Phân tích kinh doanh,25.55,"A01, D01, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-E18,Chương trình tiên tiến Hệ thống điện và năng lượng tái tạo,25.71,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-E1,Chương trình tiên tiến Cơ điện tử,26.3,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E10,Chương trình tiên tiến Khoa học dữ liệu và Trí tuệ nhân tạo,28.04,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF-E12,Chương trình tiên tiến Kỹ thuật Thực phẩm,24.44,"A00, B00, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E9,Chương trình tiên tiến Hệ thống nhúng thông minh và IoT,26.93,"A00, A01, D28"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE-E2,Chương trình tiên tiến Kỹ thuật Ô tô,26.11,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E5,Chương trình tiên tiến Kỹ thuật Y sinh,25.88,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM-E14,Chương trình tiên tiến Logistics và Quản lý chuỗi cung ứng,26.3,"A01, D01, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-E8,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,27.26,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-GU,Cơ khí - Chế tạo máy - ĐH Griffith (Úc),23.88,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE-EP,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),24.76,"A00, A01, D29"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-NUT,Cơ điện tử - ĐH Nagaoka (Nhật Bản),24.88,"A00, A01, D28"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-LUH,Cơ điện tử - ĐH Leibniz Hannover (Đức),25.16,"A00, A01, D26"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ED2,Công nghệ giáo dục,24.8,"A00, A01, D01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E7,Công nghệ thông tin ICT,27.85,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E6,Công nghệ thông tin Việt-Nhật,27.4,"A00, A01, D28"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-EP,Công nghệ thông tin (Việt - Pháp),27.19,"A00, A01, D29"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (Đức),25.13,"A00, A01, D26"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MI2,Hệ thống thông tin quản lý,27.0,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,CH2,Hóa học,24.96,"A00, B00, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM4,Kế toán,25.76,"A00, A01, D01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TROY-IT,Khoa học máy tính - ĐH Troy (Hoa Kỳ),25.5,"A00, A01, D01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT1,Khoa học Máy tính,28.43,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE1,Kỹ thuật Ô tô,26.94,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE3,Kỹ thuật Hàng không,26.48,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,PH2,Kỹ thuật hạt nhân,24.48,"A00, A01, A02"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME1,Kỹ thuật Cơ điện tử,26.91,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT2,Kỹ thuật Máy tính,28.1,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,HE1,Kỹ thuật Nhiệt,24.5,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE1,Kỹ thuật Điện,26.5,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TX1,Kỹ thuật Dệt,23.99,"A00, A01, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME2,Kỹ thuật Cơ khí,25.78,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EV1,Kỹ thuật Môi trường,24.01,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE2,Kỹ thuật Điều khiển - Tự động hóa,27.46,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,CH1,Kỹ thuật Hóa học,25.2,"A00, B00, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET1,Kỹ thuật Điện tử - Viễn thông,26.8,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE2,Kỹ thuật Cơ khí động lực,25.7,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF2,Kỹ thuật Thực phẩm,25.94,"A00, B00, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF1,Kỹ thuật Sinh học,25.34,"A00, B00, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS1,Kỹ thuật Vật liệu,24.65,"A00, A01, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EV2,Quản lý Tài nguyên và Môi trường,23.53,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM2,Quản lý công nghiệp,25.75,"A00, A01, D01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TROY-BA,Quản trị kinh doanh - ĐH Troy (Hoa Kỳ),23.25,"A00, A01, D01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM3,Quản trị kinh doanh,26.04,"A00, A01, D01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM5,Tài chính - Ngân hàng,25.83,"A00, A01, D01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,FL2,Tiếng Anh chuyên nghiệp quốc tế,26.11,D01
BKA,Đại học Bách khoa Hà Nội,Hà Nội,FL1,Tiếng Anh KHKT và Công nghệ,26.39,D01
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MI1,Toán-Tin,27.0,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-EP,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),26.14,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E16,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),26.59,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,PH3,Vật lý y khoa,25.36,"A00, A01, A02"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,PH1,Vật lý kỹ thuật,25.64,"A00, A01"
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH02,Kinh doanh quốc tế và Quản trị kinh doanh,28.45,A00
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH05,Ngôn ngữ Pháp,36.75,D01
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH04,Ngôn ngữ Anh,37.55,D01
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH07,Ngôn ngữ Nhật,35.2,D01
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH01-02,Nhóm ngành Kinh tế; Kinh tế quốc tế,28.0,A00
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH01-01,Nhóm ngành luật,27.55,A00
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH03,Tài chính - Ngân hàng và Kế toán,28.25,A00
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340204,Bảo hiểm,27.0,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340116,Bất động sản,27.2,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP09,Công nghệ tài chính (BFT),27.1,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480201,Công nghệ thông tin,27.3,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP10,Đầu tư tài chính (BFI - tiếng Anh hệ số 2),37.1,"A01, D01, D07, D10"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP02,Định phí Bảo hiểm & Quản trị rủi ro (Actuary) học bằng tiếng Anh,26.95,"A01, D01, D07, D09"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340405,Hệ thống thông tin,27.5,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340301,Kế toán,27.65,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP04,Kế toán tích hợp chứng chỉ quốc tế (ICAEW CFAB),27.3,"A01, D01, D07, D09"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP03,Khoa học dữ liệu trong Kinh tế & Kinh doanh (DSEB),26.95,"A01, D01, D07, D09"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340401,Khoa học quản lý,27.2,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480101,Khoa học máy tính,27.0,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP01,Khởi nghiệp và phát triển kinh doanh (BBAE) học bằng tiếng Anh (tiếng Anh hệ số 2),36.45,"A01, D01, D07, D09"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340302,Kiểm toán,28.1,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP12,Kiểm toán tích hợp chứng chỉ quốc tế (AUD-ICAEW),27.55,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310106,Kinh tế quốc tế,28.05,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7850102,Kinh tế tài nguyên thiên nhiên,26.95,"A00, A01, B00, D01"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7620114,Kinh doanh nông nghiệp,26.9,"A00, A01, B00, D01"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340121,Kinh doanh thương mại,27.9,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP05,Kinh doanh số (E-BDB),27.15,"A01, D01, D07, D09"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310104,Kinh tế đầu tư,27.7,"A00, A01, B00, D01"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP13,Kinh tế học tài chính (FE),26.95,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7620115,Kinh tế nông nghiệp,26.95,"A00, A01, B00, D01"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310105,Kinh tế phát triển,27.5,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP14,Logistics và Quản lý chuỗi cung ứng tích hợp chứng chỉ quốc tế (LSIC),36.6,"A01, D01, D07, D10"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7510605,Logistics và Quản lý chuỗi cung ứng,28.3,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7380107,Luật kinh tế,27.3,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340115,Marketing,28.15,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340120,Ngành Kinh doanh quốc tế,28.25,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7380101,Ngành Luật,27.1,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7220201,Ngôn ngữ Anh,37.3,"A01, D01, D09, D10"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP06,Phân tích kinh doanh (BA),27.3,"A01, D01, D07, D09"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EPMP,Quản lý công và chính sách học bằng tiếng Anh (EPMP),26.85,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP07,Quản trị điều hành thông minh (E-SOM),27.1,"A01, D01, D07, D10"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340403,Quản lý công,27.2,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7320108,Quan hệ công chúng,28.1,"A01, C03, C04, D01"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP11,Quản trị khách sạn quốc tế (IHME - tiếng Anh hệ số 2),36.6,"A01, D01, D09, D10"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7850101,Quản lý tài nguyên và môi trường,26.9,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340409,Quản lý dự án,27.5,"A00, A01, B00, D01"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP08,Quản trị chất lượng và Đổi mới (E-MQI),27.1,"A01, D01, D07, D10"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,27.2,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340404,Quản trị nhân lực,27.7,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340101,Quản trị Kinh doanh,27.75,"A00, A01, D01, D07"
KHA,Đại học Kinh tế quốc dân,Hà Nội,EBBA,Quản trị kinh doanh học bằng tiếng Anh (EBBA),27.05,"A00, A01, D01, D07"
